region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state,latitude,longitude
kenai peninsula,40000,2020,chevrolet,silverado custom,new,4 cylinders,gas,5000,clean,automatic,4wd,full-size,truck,grey,ak,60.5577,-151.2472
kenai peninsula,23250,2019,chevrolet,equinox 2lt,like new,4 cylinders,gas,21000,clean,automatic,4wd,full-size,SUV,custom,ak,60.6145,-151.2546
kenai peninsula,46000,2019,ram,3500 hd,good,8 cylinders,gas,8350,lien,automatic,4wd,full-size,truck,silver,ak,60.48742,-151.064418
flagstaff / sedona,28995,2021,honda,accord,like new,4 cylinders,gas,696,clean,automatic,fwd,full-size,sedan,white,az,35.1859,-111.662
mohave county,49900,2020,chevrolet,camaro,like new,8 cylinders,gas,5200,clean,manual,rwd,sub-compact,coupe,blue,az,34.5575,-114.3307
mohave county,59000,2020,chevrolet,silverado trail boss,new,8 cylinders,gas,1451,clean,automatic,4wd,full-size,pickup,red,az,34.407164,-114.150181
phoenix,39585,2019,toyota,tacoma,excellent,6 cylinders,gas,26567,clean,automatic,4wd,compact,truck,grey,az,33.48815,-111.94239
phoenix,21500,2020,chevrolet,traverse,like new,6 cylinders,gas,2000,salvage,automatic,fwd,full-size,SUV,grey,az,33.6617,-112.037
phoenix,11500,2019,ford,fusion,like new,4 cylinders,gas,23000,salvage,automatic,fwd,full-size,sedan,blue,az,33.6315,-112.052
phoenix,36773,2020,ford,explorer,excellent,4 cylinders,gas,9828,clean,automatic,rwd,full-size,SUV,white,az,33.48815,-111.94239
phoenix,66000,2019,ford,f-250 super duty,excellent,8 cylinders,diesel,37185,clean,automatic,4wd,full-size,truck,black,az,33.3425,-111.6353
phoenix,21500,2019,ford,fusion hybrid,excellent,4 cylinders,hybrid,24356,clean,automatic,fwd,full-size,sedan,white,az,33.242703,-111.651778
phoenix,26995,2019,ford,transit,good,6 cylinders,gas,30703,clean,automatic,rwd,full-size,van,white,az,33.623814,-112.010536
phoenix,56997,2020,jeep,gladiator overland,like new,6 cylinders,gas,3226,clean,automatic,4wd,mid-size,pickup,black,az,33.407406,-111.865175
phoenix,0,2020,jeep,wrangler willys,like new,6 cylinders,gas,9025,clean,automatic,4wd,mid-size,SUV,orange,az,33.407335,-111.865175
phoenix,50000,2021,ram,power wagon,like new,8 cylinders,gas,100,clean,automatic,4wd,full-size,truck,red,az,32.389741,-111.377008
phoenix,30500,2019,mazda,cx9 touring,like new,4 cylinders,gas,21726,clean,automatic,fwd,full-size,SUV,grey,az,33.31953,-111.903871
phoenix,36500,2019,mercedes-benz,benz glc 300,excellent,4 cylinders,gas,27172,clean,automatic,rwd,compact,SUV,grey,az,33.652209,-111.878757
phoenix,62999,2019,ford,f-150,excellent,6 cylinders,gas,80995,clean,automatic,4wd,full-size,truck,blue,az,33.6315,-112.052
phoenix,34999,2019,kia,stinger,excellent,6 cylinders,gas,17995,clean,automatic,4wd,mid-size,sedan,white,az,33.6315,-112.052
prescott,24999,2019,dodge,charger sxt plus,like new,6 cylinders,gas,32159,clean,automatic,rwd,full-size,sedan,blue,az,34.586025,-112.318347
prescott,32129,2020,gmc,acadia,like new,6 cylinders,gas,42905,clean,automatic,fwd,mid-size,SUV,white,az,34.586025,-112.318347
prescott,18758,2020,dodge,grand caravan,like new,6 cylinders,gas,31607,clean,automatic,fwd,mid-size,mini-van,silver,az,34.586025,-112.318347
prescott,21598,2020,chevrolet,equinox,like new,4 cylinders,gas,33423,clean,automatic,4wd,compact,SUV,black,az,34.586025,-112.318347
prescott,23999,2020,gmc,terrain slt,like new,4 cylinders,gas,35682,clean,automatic,4wd,compact,SUV,white,az,34.586025,-112.318347
prescott,45000,2019,ram,1500,like new,8 cylinders,gas,5600,clean,automatic,rwd,full-size,truck,white,az,34.7757,-112.4731
prescott,21597,2020,chevrolet,equinox,like new,4 cylinders,gas,30714,clean,automatic,4wd,compact,SUV,white,az,34.586025,-112.318347
prescott,31886,2019,ram,1500,like new,8 cylinders,gas,35327,clean,automatic,rwd,full-size,truck,silver,az,34.586025,-112.318347
prescott,35524,2020,jeep,grand cherokee,like new,6 cylinders,gas,31525,clean,automatic,4wd,mid-size,SUV,grey,az,34.586025,-112.318347
prescott,29995,2019,dodge,charger,like new,6 cylinders,gas,39577,clean,automatic,rwd,full-size,sedan,red,az,34.586025,-112.318347
prescott,43999,2020,chevrolet,tahoe,like new,8 cylinders,gas,42385,clean,automatic,4wd,full-size,SUV,black,az,34.586025,-112.318347
prescott,25999,2019,nissan,frontier,like new,6 cylinders,gas,35343,clean,automatic,4wd,mid-size,truck,white,az,34.586025,-112.318347
prescott,34996,2019,toyota,highlander,like new,6 cylinders,gas,16503,clean,automatic,fwd,mid-size,SUV,silver,az,34.586025,-112.318347
prescott,26899,2019,dodge,charger,like new,6 cylinders,gas,35123,clean,automatic,rwd,full-size,sedan,orange,az,34.586025,-112.318347
prescott,39495,2020,ram,1500,like new,8 cylinders,gas,33629,clean,automatic,rwd,full-size,truck,silver,az,34.586025,-112.318347
